order_item_id,order_id,product_id,quantity,unit_price,discount_amount,line_net_amount,line_vat_amount,promotion_id
OI0000049,ORD000013,P0048,2,4.8,0.0,9.6,1.92,
OI0000050,ORD000013,P0023,1,1.6,0.0,1.6,0.0,
OI0000051,ORD000013,P0010,3,1.1,0.0,3.3,0.0,
OI0000052,ORD000014,P0035,1,0.95,0.0,0.95,0.0,
OI0000053,ORD000014,P0046,3,1.9,0.0,5.7,1.14,
OI0000054,ORD000014,P0015,1,2.4,0.0,2.4,0.0,
OI0000055,ORD000014,P0066,2,2.6,0.0,5.2,1.04,
OI0000056,ORD000014,P0013,1,3.8,0.0,3.8,0.0,
OI0000057,ORD000015,P0031,1,2.6,0.0,2.6,0.0,
OI0000058,ORD000015,P0015,4,2.4,0.0,9.6,0.0,
OI0000059,ORD000015,P0066,1,2.6,0.0,2.6,0.52,
OI0000060,ORD000015,P0064,1,1.5,0.0,1.5,0.3,
OI0000061,ORD000016,P0056,4,1.8,0.0,7.2,1.44,
OI0000062,ORD000016,P0008,1,2.1,0.0,2.1,0.0,
OI0000063,ORD000016,P0041,1,2.4,0.0,2.4,0.0,
OI0000064,ORD000016,P0050,1,1.5,0.0,1.5,0.3,
OI0000065,ORD000016,P0029,2,6.0,1.2,10.8,0.0,PROMO004
OI0000066,ORD000016,P0044,1,1.1,0.0,1.1,0.0,
OI0000067,ORD000016,P0037,2,0.75,0.0,1.5,0.0,
OI0000068,ORD000017,P0056,2,1.8,0.0,3.6,0.72,
OI0000069,ORD000017,P0047,3,1.85,0.0,5.55,1.11,
OI0000070,ORD000017,P0046,1,1.9,0.0,1.9,0.38,
OI0000071,ORD000017,P0021,3,1.9,0.0,5.7,0.0,
OI0000072,ORD000018,P0051,3,2.1,0.0,6.3,1.26,
OI0000073,ORD000018,P0043,1,1.2,0.0,1.2,0.0,
OI0000074,ORD000018,P0047,2,1.85,0.0,3.7,0.74,
OI0000075,ORD000018,P0063,4,1.8,0.0,7.2,1.44,
OI0000076,ORD000019,P0021,3,1.9,0.0,5.7,0.0,
OI0000077,ORD000019,P0039,1,5.5,0.0,5.5,0.0,
OI0000078,ORD000019,P0066,1,2.6,0.0,2.6,0.52,
OI0000079,ORD000019,P0061,1,2.6,0.0,2.6,0.52,
OI0000080,ORD000020,P0031,1,2.6,0.0,2.6,0.0,
OI0000081,ORD000020,P0054,5,1.7,0.0,8.5,1.7,
OI0000082,ORD000020,P0037,1,0.75,0.0,0.75,0.0,
OI0000083,ORD000020,P0013,1,3.8,0.0,3.8,0.0,
OI0000084,ORD000020,P0034,1,1.8,0.0,1.8,0.0,
OI0000085,ORD000020,P0035,5,0.95,0.0,4.75,0.0,
OI0000086,ORD000020,P0044,1,1.1,0.0,1.1,0.0,
OI0000087,ORD000021,P0038,2,0.85,0.0,1.7,0.0,
OI0000088,ORD000021,P0052,5,0.9,0.0,4.5,0.9,
OI0000089,ORD000021,P0056,2,1.8,0.0,3.6,0.72,
OI0000090,ORD000021,P0018,4,1.2,0.58,4.22,0.0,PROMO003
OI0000091,ORD000021,P0043,1,1.2,0.0,1.2,0.0,
OI0000092,ORD000021,P0034,1,1.8,0.0,1.8,0.0,
OI0000093,ORD000021,P0009,2,3.0,0.0,6.0,0.0,
OI0000094,ORD000021,P0057,2,6.5,0.0,13.0,2.6,
OI0000095,ORD000022,P0055,2,3.2,0.0,6.4,1.28,
OI0000096,ORD000022,P0035,1,0.95,0.0,0.95,0.0,
OI0000097,ORD000022,P0024,1,6.2,0.62,5.58,0.0,PROMO004
OI0000098,ORD000022,P0047,2,1.85,0.0,3.7,0.74,
OI0000099,ORD000022,P0037,1,0.75,0.0,0.75,0.0,
OI0000100,ORD000022,P0065,3,2.0,0.0,6.0,1.2,
OI0000101,ORD000022,P0064,1,1.5,0.0,1.5,0.3,
OI0000102,ORD000022,P0050,2,1.5,0.0,3.0,0.6,
OI0000103,ORD000023,P0028,3,2.3,0.0,6.9,0.0,
OI0000104,ORD000024,P0029,3,6.0,0.0,18.0,0.0,
OI0000105,ORD000025,P0063,2,1.8,0.0,3.6,0.72,
OI0000106,ORD000025,P0007,6,0.95,0.0,5.7,0.0,
OI0000107,ORD000026,P0050,1,1.5,0.0,1.5,0.3,
OI0000108,ORD000026,P0028,1,2.3,0.0,2.3,0.0,
OI0000109,ORD000026,P0061,2,2.6,0.0,5.2,1.04,
OI0000110,ORD000026,P0057,2,6.5,0.0,13.0,2.6,
OI0000111,ORD000026,P0042,2,2.0,0.0,4.0,0.0,
OI0000112,ORD000026,P0021,3,1.9,0.0,5.7,0.0,
OI0000113,ORD000026,P0063,2,1.8,0.0,3.6,0.72,
OI0000114,ORD000026,P0017,1,1.3,0.0,1.3,0.0,
OI0000115,ORD000026,P0044,4,1.1,0.0,4.4,0.0,
OI0000116,ORD000026,P0009,1,3.0,0.0,3.0,0.0,
OI0000117,ORD000027,P0028,2,2.3,0.0,4.6,0.0,
OI0000118,ORD000027,P0036,4,2.2,0.0,8.8,0.0,
OI0000119,ORD000027,P0038,6,0.85,0.0,5.1,0.0,
OI0000120,ORD000028,P0013,2,3.8,0.0,7.6,0.0,
OI0000121,ORD000028,P0047,1,1.85,0.0,1.85,0.37,
OI0000122,ORD000028,P0054,1,1.7,0.3,1.4,0.28,PROMO005
OI0000123,ORD000028,P0019,3,3.2,0.0,9.6,0.0,
OI0000124,ORD000028,P0011,3,1.85,0.0,5.55,0.0,
OI0000125,ORD000028,P0022,3,2.75,0.0,8.25,0.0,
OI0000126,ORD000029,P0014,2,2.2,0.0,4.4,0.0,
OI0000127,ORD000029,P0061,2,2.6,0.0,5.2,1.04,
OI0000128,ORD000029,P0040,2,3.0,0.0,6.0,0.0,
OI0000129,ORD000029,P0043,1,1.2,0.0,1.2,0.0,
OI0000130,ORD000029,P0050,2,1.5,0.0,3.0,0.6,
OI0000131,ORD000029,P0010,1,1.1,0.0,1.1,0.0,
OI0000132,ORD000030,P0066,1,2.6,0.0,2.6,0.52,
OI0000133,ORD000030,P0013,1,3.8,0.0,3.8,0.0,
OI0000134,ORD000030,P0011,2,1.85,0.0,3.7,0.0,
OI0000135,ORD000030,P0012,1,3.2,0.0,3.2,0.0,
OI0000136,ORD000030,P0025,2,4.8,0.0,9.6,0.0,
OI0000137,ORD000031,P0016,3,2.0,0.0,6.0,0.0,
OI0000138,ORD000031,P0008,1,2.1,0.0,2.1,0.0,
OI0000139,ORD000031,P0058,2,5.2,0.0,10.4,2.08,
OI0000140,ORD000032,P0064,3,1.5,0.0,4.5,0.9,
OI0000141,ORD000032,P0046,1,1.9,0.0,1.9,0.38,
OI0000142,ORD000032,P0042,2,2.0,0.0,4.0,0.0,
OI0000143,ORD000033,P0016,1,2.0,0.0,2.0,0.0,
OI0000144,ORD000034,P0017,1,1.3,0.0,1.3,0.0,
OI0000145,ORD000034,P0043,1,1.2,0.0,1.2,0.0,
OI0000146,ORD000034,P0020,2,2.6,0.0,5.2,0.0,
OI0000147,ORD000035,P0060,3,2.2,0.0,6.6,1.32,
OI0000148,ORD000035,P0035,1,0.95,0.0,0.95,0.0,
OI0000149,ORD000035,P0065,1,2.0,0.0,2.0,0.4,
OI0000150,ORD000035,P0009,1,3.0,0.0,3.0,0.0,
OI0000151,ORD000036,P0060,4,2.2,0.0,8.8,1.76,
OI0000152,ORD000036,P0062,1,3.2,0.0,3.2,0.64,
OI0000153,ORD000036,P0013,1,3.8,0.0,3.8,0.0,
OI0000154,ORD000036,P0039,1,5.5,0.0,5.5,0.0,
OI0000155,ORD000036,P0035,2,0.95,0.0,1.9,0.0,
OI0000156,ORD000036,P0050,1,1.5,0.0,1.5,0.3,
OI0000157,ORD000036,P0030,1,1.7,0.0,1.7,0.0,
OI0000158,ORD000037,P0034,1,1.8,0.0,1.8,0.0,
OI0000159,ORD000037,P0032,1,3.5,0.0,3.5,0.0,
OI0000160,ORD000037,P0052,2,0.9,0.0,1.8,0.36,
OI0000161,ORD000037,P0040,5,3.0,0.0,15.0,0.0,
OI0000162,ORD000037,P0058,3,5.2,0.0,15.6,3.12,
OI0000163,ORD000037,P0053,2,1.2,0.0,2.4,0.48,
OI0000164,ORD000037,P0038,1,0.85,0.0,0.85,0.0,
OI0000165,ORD000037,P0035,1,0.95,0.0,0.95,0.0,
OI0000166,ORD000038,P0060,1,2.2,0.0,2.2,0.44,
OI0000167,ORD000038,P0046,1,1.9,0.0,1.9,0.38,
OI0000168,ORD000038,P0063,2,1.8,0.0,3.6,0.72,
OI0000169,ORD000038,P0065,4,2.0,0.0,8.0,1.6,
OI0000170,ORD000038,P0031,1,2.6,0.0,2.6,0.0,
OI0000171,ORD000038,P0062,1,3.2,0.0,3.2,0.64,
OI0000172,ORD000038,P0016,3,2.0,0.0,6.0,0.0,
OI0000173,ORD000038,P0013,1,3.8,0.0,3.8,0.0,
OI0000174,ORD000038,P0009,5,3.0,0.0,15.0,0.0,
OI0000175,ORD000039,P0039,1,5.5,0.0,5.5,0.0,
OI0000176,ORD000039,P0006,1,1.5,0.0,1.5,0.0,
OI0000177,ORD000039,P0066,1,2.6,0.0,2.6,0.52,
OI0000178,ORD000039,P0061,1,2.6,0.0,2.6,0.52,
OI0000179,ORD000040,P0005,2,2.0,0.0,4.0,0.0,
OI0000180,ORD000040,P0041,1,2.4,0.0,2.4,0.0,
OI0000181,ORD000040,P0028,1,2.3,0.0,2.3,0.0,
OI0000182,ORD000040,P0009,2,3.0,0.0,6.0,0.0,
OI0000183,ORD000040,P0064,2,1.5,0.0,3.0,0.6,
OI0000184,ORD000040,P0012,2,3.2,0.0,6.4,0.0,
OI0000185,ORD000040,P0011,1,1.85,0.0,1.85,0.0,
OI0000186,ORD000041,P0054,1,1.7,0.0,1.7,0.34,
OI0000187,ORD000041,P0034,5,1.8,0.0,9.0,0.0,
OI0000188,ORD000041,P0018,6,1.2,0.0,7.2,0.0,
OI0000189,ORD000042,P0057,3,6.5,0.0,19.5,3.9,
OI0000190,ORD000042,P0048,1,4.8,0.0,4.8,0.96,
OI0000191,ORD000042,P0052,1,0.9,0.0,0.9,0.18,
OI0000192,ORD000042,P0007,2,0.95,0.0,1.9,0.0,
OI0000193,ORD000043,P0057,1,6.5,0.0,6.5,1.3,
OI0000194,ORD000043,P0043,4,1.2,0.0,4.8,0.0,
OI0000195,ORD000044,P0054,2,1.7,0.0,3.4,0.68,
OI0000196,ORD000044,P0058,2,5.2,0.0,10.4,2.08,
OI0000197,ORD000044,P0022,2,2.75,0.0,5.5,0.0,
OI0000198,ORD000044,P0017,2,1.3,0.0,2.6,0.0,
OI0000199,ORD000045,P0034,2,1.8,0.0,3.6,0.0,
OI0000200,ORD000045,P0007,4,0.95,0.57,3.23,0.0,PROMO002
OI0000201,ORD000045,P0038,1,0.85,0.0,0.85,0.0,
OI0000202,ORD000046,P0012,1,3.2,0.0,3.2,0.0,
OI0000203,ORD000046,P0030,3,1.7,0.0,5.1,0.0,
OI0000204,ORD000046,P0011,1,1.85,0.0,1.85,0.0,
OI0000205,ORD000046,P0062,1,3.2,0.0,3.2,0.64,
OI0000206,ORD000046,P0064,1,1.5,0.0,1.5,0.3,
OI0000207,ORD000046,P0028,1,2.3,0.0,2.3,0.0,
OI0000208,ORD000046,P0050,1,1.5,0.0,1.5,0.3,
OI0000209,ORD000046,P0051,2,2.1,0.0,4.2,0.84,
OI0000210,ORD000047,P0046,3,1.9,0.0,5.7,1.14,
OI0000211,ORD000047,P0034,4,1.8,0.0,7.2,0.0,
OI0000212,ORD000047,P0041,1,2.4,0.0,2.4,0.0,
OI0000213,ORD000047,P0010,1,1.1,0.0,1.1,0.0,
OI0000214,ORD000047,P0051,1,2.1,0.0,2.1,0.42,
OI0000215,ORD000047,P0013,1,3.8,0.0,3.8,0.0,
OI0000216,ORD000048,P0006,3,1.5,0.0,4.5,0.0,
OI0000217,ORD000049,P0021,1,1.9,0.0,1.9,0.0,
OI0000218,ORD000049,P0032,1,3.5,0.0,3.5,0.0,
OI0000219,ORD000049,P0020,2,2.6,0.0,5.2,0.0,
OI0000220,ORD000049,P0025,2,4.8,0.0,9.6,0.0,
OI0000221,ORD000050,P0060,3,2.2,0.0,6.6,1.32,
OI0000222,ORD000050,P0029,1,6.0,0.0,6.0,0.0,
OI0000223,ORD000050,P0055,1,3.2,0.0,3.2,0.64,
OI0000224,ORD000050,P0041,4,2.4,0.0,9.6,0.0,
OI0000225,ORD000050,P0062,1,3.2,0.0,3.2,0.64,
OI0000226,ORD000050,P0023,1,1.6,0.0,1.6,0.0,
OI0000227,ORD000050,P0047,3,1.85,0.0,5.55,1.11,
OI0000228,ORD000051,P0030,2,1.7,0.0,3.4,0.0,
OI0000229,ORD000051,P0060,1,2.2,0.0,2.2,0.44,
OI0000230,ORD000052,P0007,1,0.95,0.0,0.95,0.0,
OI0000231,ORD000052,P0034,2,1.8,0.0,3.6,0.0,
OI0000232,ORD000052,P0058,1,5.2,0.0,5.2,1.04,
OI0000233,ORD000052,P0047,1,1.85,0.0,1.85,0.37,
OI0000234,ORD000052,P0036,1,2.2,0.0,2.2,0.0,
OI0000235,ORD000053,P0028,2,2.3,0.0,4.6,0.0,
OI0000236,ORD000053,P0006,1,1.5,0.0,1.5,0.0,
OI0000237,ORD000053,P0066,2,2.6,0.0,5.2,1.04,
OI0000238,ORD000053,P0053,1,1.2,0.0,1.2,0.24,
OI0000239,ORD000053,P0058,4,5.2,0.0,20.8,4.16,
OI0000240,ORD000053,P0062,1,3.2,0.0,3.2,0.64,
OI0000241,ORD000053,P0042,2,2.0,0.0,4.0,0.0,
OI0000242,ORD000053,P0039,1,5.5,0.55,4.95,0.0,PROMO001
OI0000243,ORD000054,P0023,1,1.6,0.0,1.6,0.0,
OI0000244,ORD000054,P0061,2,2.6,0.0,5.2,1.04,
OI0000245,ORD000054,P0021,1,1.9,0.0,1.9,0.0,
OI0000246,ORD000054,P0065,1,2.0,0.0,2.0,0.4,
OI0000247,ORD000054,P0018,1,1.2,0.0,1.2,0.0,
OI0000248,ORD000055,P0047,1,1.85,0.0,1.85,0.37,
OI0000249,ORD000055,P0055,2,3.2,0.0,6.4,1.28,
OI0000250,ORD000055,P0009,1,3.0,0.0,3.0,0.0,
OI0000251,ORD000055,P0045,1,3.0,0.0,3.0,0.6,
OI0000252,ORD000055,P0005,1,2.0,0.0,2.0,0.0,
OI0000253,ORD000056,P0029,3,6.0,1.8,16.2,0.0,PROMO004
OI0000254,ORD000056,P0041,4,2.4,0.0,9.6,0.0,
OI0000255,ORD000056,P0017,1,1.3,0.0,1.3,0.0,
OI0000256,ORD000056,P0019,1,3.2,0.0,3.2,0.0,
OI0000257,ORD000056,P0053,1,1.2,0.0,1.2,0.24,
OI0000258,ORD000057,P0017,2,1.3,0.0,2.6,0.0,
OI0000259,ORD000057,P0055,5,3.2,0.0,16.0,3.2,
OI0000260,ORD000057,P0005,1,2.0,0.0,2.0,0.0,
OI0000261,ORD000058,P0024,2,6.2,0.0,12.4,0.0,
OI0000262,ORD000058,P0044,4,1.1,0.0,4.4,0.0,
OI0000263,ORD000058,P0057,1,6.5,0.0,6.5,1.3,
OI0000264,ORD000059,P0007,2,0.95,0.0,1.9,0.0,
OI0000265,ORD000059,P0009,4,3.0,0.0,12.0,0.0,
OI0000266,ORD000059,P0021,1,1.9,0.0,1.9,0.0,
OI0000267,ORD000059,P0055,1,3.2,0.0,3.2,0.64,
OI0000268,ORD000059,P0015,1,2.4,0.0,2.4,0.0,
OI0000269,ORD000059,P0025,2,4.8,0.0,9.6,0.0,
OI0000270,ORD000060,P0008,1,2.1,0.0,2.1,0.0,
OI0000271,ORD000060,P0042,5,2.0,0.0,10.0,0.0,
OI0000272,ORD000060,P0041,1,2.4,0.0,2.4,0.0,
OI0000273,ORD000060,P0006,1,1.5,0.0,1.5,0.0,
OI0000274,ORD000061,P0053,3,1.2,0.0,3.6,0.72,
OI0000275,ORD000061,P0057,2,6.5,0.0,13.0,2.6,
OI0000276,ORD000062,P0026,2,7.2,1.44,12.96,0.0,PROMO004
OI0000277,ORD000062,P0015,1,2.4,0.0,2.4,0.0,
OI0000278,ORD000062,P0028,3,2.3,0.69,6.21,0.0,PROMO004
OI0000279,ORD000062,P0018,1,1.2,0.0,1.2,0.0,
OI0000280,ORD000062,P0053,1,1.2,0.0,1.2,0.24,
OI0000281,ORD000063,P0043,1,1.2,0.0,1.2,0.0,
OI0000282,ORD000063,P0055,2,3.2,0.0,6.4,1.28,
OI0000283,ORD000063,P0037,1,0.75,0.0,0.75,0.0,
OI0000284,ORD000063,P0028,2,2.3,0.0,4.6,0.0,
OI0000285,ORD000063,P0039,1,5.5,0.0,5.5,0.0,
OI0000286,ORD000063,P0060,2,2.2,0.0,4.4,0.88,
OI0000287,ORD000063,P0018,1,1.2,0.0,1.2,0.0,
OI0000288,ORD000063,P0050,3,1.5,0.0,4.5,0.9,
OI0000289,ORD000063,P0062,1,3.2,0.0,3.2,0.64,
OI0000290,ORD000064,P0052,1,0.9,0.3,0.6,0.12,PROMO005
OI0000291,ORD000064,P0053,2,1.2,0.0,2.4,0.48,
OI0000292,ORD000064,P0039,3,5.5,0.0,16.5,0.0,
OI0000293,ORD000064,P0056,1,1.8,0.3,1.5,0.3,PROMO005
OI0000294,ORD000065,P0029,1,6.0,0.0,6.0,0.0,
OI0000295,ORD000066,P0052,1,0.9,0.0,0.9,0.18,
OI0000296,ORD000066,P0063,1,1.8,0.0,1.8,0.36,
OI0000297,ORD000066,P0060,1,2.2,0.0,2.2,0.44,
OI0000298,ORD000066,P0041,1,2.4,0.0,2.4,0.0,
OI0000299,ORD000066,P0019,1,3.2,0.0,3.2,0.0,
OI0000300,ORD000066,P0065,1,2.0,0.0,2.0,0.4,
OI0000301,ORD000066,P0051,1,2.1,0.0,2.1,0.42,
OI0000302,ORD000066,P0046,6,1.9,0.0,11.4,2.28,
OI0000303,ORD000067,P0041,5,2.4,1.2,10.8,0.0,PROMO001
OI0000304,ORD000067,P0024,2,6.2,0.0,12.4,0.0,
OI0000305,ORD000067,P0058,2,5.2,0.0,10.4,2.08,
OI0000306,ORD000067,P0006,1,1.5,0.0,1.5,0.0,
OI0000307,ORD000067,P0037,1,0.75,0.08,0.68,0.0,PROMO001
OI0000308,ORD000067,P0065,2,2.0,0.0,4.0,0.8,
OI0000309,ORD000068,P0008,3,2.1,0.0,6.3,0.0,
OI0000310,ORD000068,P0058,1,5.2,0.0,5.2,1.04,
OI0000311,ORD000068,P0004,3,1.1,0.0,3.3,0.0,
OI0000312,ORD000068,P0040,3,3.0,0.0,9.0,0.0,
OI0000313,ORD000069,P0042,1,2.0,0.0,2.0,0.0,
OI0000314,ORD000069,P0041,2,2.4,0.0,4.8,0.0,
OI0000315,ORD000069,P0006,3,1.5,0.0,4.5,0.0,
OI0000316,ORD000069,P0040,2,3.0,0.0,6.0,0.0,
OI0000317,ORD000069,P0016,6,2.0,0.0,12.0,0.0,
OI0000318,ORD000070,P0024,1,6.2,0.0,6.2,0.0,
OI0000319,ORD000070,P0008,2,2.1,0.0,4.2,0.0,
OI0000320,ORD000070,P0012,2,3.2,0.0,6.4,0.0,
OI0000321,ORD000070,P0020,2,2.6,0.0,5.2,0.0,
OI0000322,ORD000070,P0032,2,3.5,0.0,7.0,0.0,
OI0000323,ORD000071,P0009,1,3.0,0.0,3.0,0.0,
OI0000324,ORD000071,P0035,6,0.95,0.0,5.7,0.0,
OI0000325,ORD000071,P0048,3,4.8,0.0,14.4,2.88,
OI0000326,ORD000071,P0019,5,3.2,0.0,16.0,0.0,
OI0000327,ORD000072,P0012,3,3.2,0.0,9.6,0.0,
OI0000328,ORD000072,P0065,1,2.0,0.0,2.0,0.4,
OI0000329,ORD000072,P0041,1,2.4,0.0,2.4,0.0,
OI0000330,ORD000072,P0062,5,3.2,0.0,16.0,3.2,
OI0000331,ORD000072,P0043,6,1.2,0.0,7.2,0.0,
OI0000332,ORD000073,P0024,2,6.2,0.0,12.4,0.0,
OI0000333,ORD000073,P0064,2,1.5,0.0,3.0,0.6,
OI0000334,ORD000073,P0050,4,1.5,0.0,6.0,1.2,
OI0000335,ORD000073,P0036,1,2.2,0.0,2.2,0.0,
OI0000336,ORD000073,P0023,2,1.6,0.0,3.2,0.0,
OI0000337,ORD000073,P0052,4,0.9,0.0,3.6,0.72,
OI0000338,ORD000074,P0047,1,1.85,0.0,1.85,0.37,
OI0000339,ORD000075,P0023,1,1.6,0.0,1.6,0.0,
OI0000340,ORD000075,P0026,5,7.2,3.6,32.4,0.0,PROMO004
OI0000341,ORD000075,P0025,2,4.8,0.96,8.64,0.0,PROMO004
OI0000342,ORD000075,P0037,1,0.75,0.0,0.75,0.0,
OI0000343,ORD000076,P0022,1,2.75,0.0,2.75,0.0,
OI0000344,ORD000076,P0030,1,1.7,0.0,1.7,0.0,
OI0000345,ORD000076,P0043,1,1.2,0.0,1.2,0.0,
OI0000346,ORD000076,P0026,2,7.2,0.0,14.4,0.0,
OI0000347,ORD000076,P0057,2,6.5,0.0,13.0,2.6,
OI0000348,ORD000076,P0025,1,4.8,0.0,4.8,0.0,
OI0000349,ORD000076,P0021,1,1.9,0.0,1.9,0.0,
OI0000350,ORD000077,P0038,1,0.85,0.0,0.85,0.0,
OI0000351,ORD000077,P0063,2,1.8,0.0,3.6,0.72,
OI0000352,ORD000077,P0057,2,6.5,0.0,13.0,2.6,
OI0000353,ORD000077,P0029,1,6.0,0.0,6.0,0.0,
OI0000354,ORD000077,P0031,5,2.6,0.0,13.0,0.0,
OI0000355,ORD000078,P0012,1,3.2,0.0,3.2,0.0,
OI0000356,ORD000078,P0034,4,1.8,0.0,7.2,0.0,
OI0000357,ORD000078,P0064,5,1.5,0.0,7.5,1.5,
OI0000358,ORD000078,P0058,1,5.2,0.0,5.2,1.04,
OI0000359,ORD000078,P0021,1,1.9,0.0,1.9,0.0,
OI0000360,ORD000079,P0024,3,6.2,0.0,18.6,0.0,
OI0000361,ORD000079,P0064,1,1.5,0.0,1.5,0.3,
OI0000362,ORD000079,P0006,2,1.5,0.0,3.0,0.0,
OI0000363,ORD000079,P0065,2,2.0,0.0,4.0,0.8,
OI0000364,ORD000079,P0017,1,1.3,0.0,1.3,0.0,
OI0000365,ORD000079,P0025,2,4.8,0.0,9.6,0.0,
OI0000366,ORD000079,P0008,1,2.1,0.0,2.1,0.0,
OI0000367,ORD000079,P0062,1,3.2,0.0,3.2,0.64,
OI0000368,ORD000080,P0053,3,1.2,0.0,3.6,0.72,
OI0000369,ORD000080,P0029,5,6.0,0.0,30.0,0.0,
OI0000370,ORD000081,P0055,2,3.2,0.0,6.4,1.28,
OI0000371,ORD000081,P0061,1,2.6,0.0,2.6,0.52,
OI0000372,ORD000081,P0024,1,6.2,0.0,6.2,0.0,
OI0000373,ORD000081,P0015,2,2.4,0.0,4.8,0.0,
OI0000374,ORD000082,P0039,1,5.5,0.55,4.95,0.0,PROMO001
OI0000375,ORD000082,P0058,6,5.2,0.0,31.2,6.24,
OI0000376,ORD000082,P0044,2,1.1,0.0,2.2,0.0,
OI0000377,ORD000082,P0019,2,3.2,0.0,6.4,0.0,
OI0000378,ORD000082,P0051,1,2.1,0.0,2.1,0.42,
OI0000379,ORD000082,P0038,1,0.85,0.09,0.77,0.0,PROMO001
OI0000380,ORD000082,P0042,4,2.0,0.8,7.2,0.0,PROMO001
OI0000381,ORD000082,P0005,2,2.0,0.0,4.0,0.0,
OI0000382,ORD000082,P0060,3,2.2,0.0,6.6,1.32,
OI0000383,ORD000083,P0015,1,2.4,0.0,2.4,0.0,
OI0000384,ORD000083,P0043,1,1.2,0.0,1.2,0.0,
OI0000385,ORD000083,P0005,3,2.0,0.0,6.0,0.0,
OI0000386,ORD000083,P0004,4,1.1,0.0,4.4,0.0,
OI0000387,ORD000083,P0039,5,5.5,0.0,27.5,0.0,
OI0000388,ORD000083,P0037,1,0.75,0.0,0.75,0.0,
OI0000389,ORD000083,P0016,3,2.0,0.0,6.0,0.0,
OI0000390,ORD000084,P0031,1,2.6,0.0,2.6,0.0,
OI0000391,ORD000084,P0047,1,1.85,0.0,1.85,0.37,
OI0000392,ORD000084,P0011,2,1.85,0.0,3.7,0.0,
OI0000393,ORD000084,P0042,2,2.0,0.0,4.0,0.0,
OI0000394,ORD000084,P0064,1,1.5,0.0,1.5,0.3,
