product_id,product_name,category,brand,supplier_id,unit_cost,unit_price,vat_rate,reorder_level,active
P0024,Chicken Breast 650g,Meat & Fish,Urban Kitchen,SUP009,3.8,6.2,0.0,39,True
P0025,Beef Mince 500g,Meat & Fish,Urban Kitchen,SUP006,2.7,4.8,0.0,24,True
P0026,Salmon Fillets 2 Pack,Meat & Fish,Urban Kitchen,SUP011,4.2,7.2,0.0,93,True
P0027,Pork Sausages 8,Meat & Fish,RYStore Value,SUP008,1.8,3.2,0.0,34,False
P0028,Turkey Slices 120g,Meat & Fish,FreshWay,SUP007,1.2,2.3,0.0,51,True
P0029,Cod Fillets 400g,Meat & Fish,RYStore Value,SUP002,3.5,6.0,0.0,96,True
P0030,Frozen Peas 1kg,Frozen,FreshWay,SUP002,0.95,1.7,0.0,56,True
P0031,Margherita Pizza,Frozen,RYStore Finest,SUP008,1.3,2.6,0.0,66,True
P0032,Ice Cream Tub,Frozen,Everyday Choice,SUP004,1.7,3.5,0.0,43,True
P0033,Frozen Chips 1.5kg,Frozen,Nature Basket,SUP004,1.0,2.1,0.0,46,False
P0034,Mixed Vegetables 1kg,Frozen,Everyday Choice,SUP011,0.9,1.8,0.0,79,True
P0035,Pasta 500g,Grocery,FreshWay,SUP012,0.45,0.95,0.0,86,True
P0036,Basmati Rice 1kg,Grocery,Farmhouse Select,SUP008,1.1,2.2,0.0,115,True
P0037,Chopped Tomatoes,Grocery,Urban Kitchen,SUP005,0.35,0.75,0.0,66,True
P0038,Baked Beans,Grocery,RYStore Value,SUP011,0.4,0.85,0.0,46,True
P0039,Olive Oil 500ml,Grocery,FreshWay,SUP007,2.8,5.5,0.0,68,True
P0040,Cereal 500g,Grocery,RYStore Finest,SUP011,1.4,3.0,0.0,28,True
P0041,Peanut Butter,Grocery,FreshWay,SUP002,1.2,2.4,0.0,27,True
P0042,Instant Noodles 5 Pack,Grocery,Nature Basket,SUP006,1.0,2.0,0.0,74,True
P0043,Flour 1.5kg,Grocery,Farmhouse Select,SUP011,0.6,1.2,0.0,56,True
P0044,Sugar 1kg,Grocery,Urban Kitchen,SUP005,0.55,1.1,0.0,83,True
P0045,Still Water 6x1.5L,Beverages,Nature Basket,SUP005,1.6,3.0,0.2,76,True
P0046,Orange Juice 1L,Beverages,Farmhouse Select,SUP006,0.95,1.9,0.2,55,True
P0047,Cola 2L,Beverages,FreshWay,SUP008,0.9,1.85,0.2,81,True
P0048,Coffee 200g,Beverages,Farmhouse Select,SUP002,2.2,4.8,0.2,89,True
P0049,Tea Bags 80,Beverages,Nature Basket,SUP012,1.5,3.0,0.2,41,False
P0050,Energy Drink 500ml,Beverages,Farmhouse Select,SUP007,0.75,1.5,0.2,92,True
P0051,Crisps 6 Pack,Snacks,FreshWay,SUP012,1.1,2.1,0.2,59,True
P0052,Chocolate Bar,Snacks,Farmhouse Select,SUP006,0.45,0.9,0.2,61,True
P0053,Digestive Biscuits,Snacks,Urban Kitchen,SUP007,0.6,1.2,0.2,67,True
P0054,Popcorn Sharing Bag,Snacks,RYStore Finest,SUP003,0.85,1.7,0.2,41,True
P0055,Mixed Nuts 200g,Snacks,FreshWay,SUP009,1.6,3.2,0.2,26,True
P0056,Protein Bar,Snacks,RYStore Value,SUP012,0.9,1.8,0.2,73,True
P0057,Laundry Detergent 30 Wash,Household,Nature Basket,SUP010,3.4,6.5,0.2,95,True
P0058,Toilet Roll 9 Pack,Household,Everyday Choice,SUP004,2.7,5.2,0.2,93,True
P0059,Washing-up Liquid,Household,FreshWay,SUP010,0.75,1.5,0.2,118,False
P0060,Kitchen Towels 2 Pack,Household,FreshWay,SUP006,1.1,2.2,0.2,26,True
P0061,Bin Bags 20,Household,RYStore Value,SUP010,1.3,2.6,0.2,24,True
P0062,Shampoo 400ml,Health & Beauty,Everyday Choice,SUP007,1.5,3.2,0.2,96,True
P0063,Toothpaste 100ml,Health & Beauty,RYStore Value,SUP003,0.85,1.8,0.2,97,True
P0064,Hand Soap 500ml,Health & Beauty,RYStore Finest,SUP006,0.7,1.5,0.2,23,True
P0065,Shower Gel 250ml,Health & Beauty,Urban Kitchen,SUP009,0.9,2.0,0.2,64,True
P0066,Deodorant 150ml,Health & Beauty,Urban Kitchen,SUP008,1.2,2.6,0.2,64,True
