store_id,product_id,stock_on_hand,stock_on_order,last_restock_date,aisle_location
ST003,P0026,250,0,2025-12-12,Aisle 4
ST003,P0027,246,20,2025-12-17,Household
ST003,P0028,318,0,2025-12-17,Chilled
ST003,P0029,120,0,2025-12-26,Chilled
ST003,P0030,89,60,2025-11-27,Aisle 3
ST003,P0031,268,60,2025-11-21,Aisle 5
ST003,P0032,152,60,2025-12-08,Aisle 3
ST003,P0033,177,100,2025-11-16,Frozen
ST003,P0034,98,0,2025-12-27,Aisle 2
ST003,P0035,319,0,2025-11-22,Chilled
ST003,P0036,289,20,2025-12-29,Chilled
ST003,P0037,341,0,2025-11-30,Aisle 2
ST003,P0038,134,20,2025-11-17,Produce
ST003,P0039,211,100,2025-12-14,Aisle 2
ST003,P0040,194,40,2025-11-30,Bakery
ST003,P0041,257,0,2025-12-30,Bakery
ST003,P0042,215,0,2025-12-31,Chilled
ST003,P0043,98,20,2025-11-29,Frozen
ST003,P0044,126,0,2025-11-19,Aisle 1
ST003,P0045,240,0,2025-12-10,Household
ST003,P0046,305,0,2025-12-11,Aisle 2
ST003,P0047,100,100,2025-12-08,Aisle 4
ST003,P0048,279,20,2025-12-04,Frozen
ST003,P0049,337,40,2025-11-16,Aisle 3
ST003,P0050,253,0,2025-12-26,Produce
ST003,P0051,117,40,2025-12-03,Aisle 1
ST003,P0052,328,60,2025-12-08,Aisle 2
ST003,P0053,307,0,2025-12-22,Aisle 2
ST003,P0054,213,60,2025-12-20,Aisle 4
ST003,P0055,245,20,2025-12-10,Bakery
ST003,P0056,12,100,2025-12-31,Aisle 2
ST003,P0057,248,40,2025-11-24,Chilled
ST003,P0058,149,0,2025-12-28,Aisle 4
ST003,P0059,93,20,2025-12-29,Aisle 4
ST003,P0060,159,0,2025-12-24,Produce
ST003,P0061,7,60,2025-12-25,Bakery
ST003,P0062,221,40,2025-12-07,Aisle 5
ST003,P0063,213,0,2025-12-05,Chilled
ST003,P0064,23,60,2025-12-30,Produce
ST003,P0065,197,0,2025-11-21,Aisle 5
ST003,P0066,166,100,2025-11-16,Aisle 3
ST004,P0001,47,60,2025-12-06,Aisle 4
ST004,P0002,68,0,2025-12-14,Aisle 4
ST004,P0003,288,0,2025-12-14,Aisle 5
ST004,P0004,151,100,2025-12-19,Frozen
ST004,P0005,16,0,2025-12-05,Bakery
ST004,P0006,319,60,2025-12-13,Produce
ST004,P0007,194,40,2025-12-29,Frozen
ST004,P0008,47,100,2025-11-20,Chilled
ST004,P0009,125,60,2025-11-30,Aisle 1
ST004,P0010,157,100,2025-12-26,Produce
ST004,P0011,240,0,2025-12-11,Aisle 5
ST004,P0012,183,0,2025-12-24,Household
ST004,P0013,42,0,2025-12-20,Produce
ST004,P0014,334,0,2025-12-08,Chilled
ST004,P0015,123,40,2025-12-04,Aisle 3
ST004,P0016,200,100,2025-11-27,Frozen
ST004,P0017,2,0,2025-12-24,Bakery
ST004,P0018,87,60,2025-12-29,Produce
ST004,P0019,293,0,2025-12-12,Aisle 4
ST004,P0020,154,0,2025-12-03,Produce
ST004,P0021,314,0,2025-11-25,Aisle 3
ST004,P0022,24,0,2025-12-26,Frozen
ST004,P0023,117,0,2025-12-28,Frozen
ST004,P0024,287,40,2025-12-23,Household
ST004,P0025,84,0,2025-12-18,Bakery
ST004,P0026,140,0,2025-11-17,Produce
ST004,P0027,322,100,2025-12-18,Frozen
ST004,P0028,199,0,2025-12-14,Household
ST004,P0029,210,40,2025-12-08,Bakery
ST004,P0030,223,0,2025-12-27,Bakery
ST004,P0031,187,60,2025-12-30,Produce
ST004,P0032,115,60,2025-11-25,Aisle 3
ST004,P0033,49,0,2025-11-26,Produce
ST004,P0034,331,20,2025-12-31,Produce
ST004,P0035,29,0,2025-12-01,Aisle 3
ST004,P0036,286,40,2025-12-25,Frozen
ST004,P0037,33,0,2025-12-21,Frozen
ST004,P0038,126,0,2025-12-20,Chilled
ST004,P0039,210,60,2025-12-31,Chilled
ST004,P0040,89,60,2025-11-17,Bakery
ST004,P0041,305,20,2025-12-04,Chilled
ST004,P0042,143,0,2025-12-20,Household
ST004,P0043,86,0,2025-12-04,Aisle 2
ST004,P0044,298,0,2025-11-28,Produce
ST004,P0045,4,100,2025-12-09,Frozen
ST004,P0046,5,40,2025-12-12,Chilled
ST004,P0047,294,60,2025-11-20,Produce
ST004,P0048,90,0,2025-12-20,Aisle 2
ST004,P0049,21,0,2025-12-08,Aisle 3
ST004,P0050,9,40,2025-11-28,Bakery
ST004,P0051,192,60,2025-12-03,Aisle 2
ST004,P0052,343,0,2025-12-12,Aisle 4
ST004,P0053,163,60,2025-12-17,Produce
ST004,P0054,25,20,2025-12-24,Aisle 2
ST004,P0055,227,60,2025-12-20,Frozen
ST004,P0056,45,0,2025-11-16,Aisle 1
ST004,P0057,110,0,2025-12-06,Frozen
ST004,P0058,71,20,2025-11-27,Aisle 2
ST004,P0059,171,0,2025-11-23,Aisle 5
ST004,P0060,287,0,2025-11-23,Aisle 5
ST004,P0061,201,20,2025-12-29,Household
ST004,P0062,336,100,2025-12-31,Aisle 4
ST004,P0063,323,40,2025-12-28,Aisle 5
ST004,P0064,83,20,2025-12-10,Produce
ST004,P0065,176,0,2025-11-29,Aisle 4
ST004,P0066,183,20,2025-11-18,Chilled
ST005,P0001,16,60,2025-11-29,Aisle 1
ST005,P0002,200,100,2025-12-12,Frozen
ST005,P0003,260,40,2025-12-06,Aisle 1
ST005,P0004,348,0,2025-12-21,Household
ST005,P0005,63,20,2025-11-19,Household
ST005,P0006,142,0,2025-12-13,Aisle 2
ST005,P0007,264,40,2025-11-27,Aisle 1
ST005,P0008,341,0,2025-12-03,Aisle 4
ST005,P0009,31,0,2025-11-26,Bakery
ST005,P0010,256,0,2025-11-17,Aisle 4
ST005,P0011,83,0,2025-12-02,Household
ST005,P0012,301,0,2025-12-06,Bakery
ST005,P0013,119,0,2025-12-26,Frozen
ST005,P0014,27,20,2025-12-13,Aisle 4
ST005,P0015,93,0,2025-12-30,Household
ST005,P0016,136,20,2025-11-25,Aisle 2
ST005,P0017,286,40,2025-12-03,Bakery
ST005,P0018,53,40,2025-11-27,Household
ST005,P0019,237,0,2025-11-22,Aisle 3
ST005,P0020,159,40,2025-12-14,Aisle 4
ST005,P0021,81,0,2025-12-24,Aisle 5
ST005,P0022,261,0,2025-12-22,Household
ST005,P0023,252,20,2025-11-18,Chilled
ST005,P0024,190,0,2025-12-16,Produce
ST005,P0025,305,40,2025-12-15,Household
ST005,P0026,90,100,2025-12-19,Aisle 2
ST005,P0027,69,0,2025-12-29,Frozen
ST005,P0028,14,60,2025-12-23,Produce
ST005,P0029,350,0,2025-12-18,Frozen
ST005,P0030,22,40,2025-12-08,Bakery
ST005,P0031,301,0,2025-12-14,Bakery
ST005,P0032,278,100,2025-12-15,Aisle 4
ST005,P0033,156,0,2025-11-17,Chilled
ST005,P0034,288,0,2025-12-04,Aisle 5
ST005,P0035,319,60,2025-12-19,Chilled
ST005,P0036,131,0,2025-12-13,Aisle 1
ST005,P0037,127,40,2025-12-16,Aisle 1
ST005,P0038,192,40,2025-11-22,Aisle 4
ST005,P0039,316,0,2025-12-04,Produce
ST005,P0040,117,0,2025-12-23,Bakery
ST005,P0041,301,0,2025-11-23,Produce
ST005,P0042,343,0,2025-11-16,Produce
ST005,P0043,201,40,2025-12-05,Frozen
ST005,P0044,180,0,2025-12-17,Aisle 2
ST005,P0045,50,40,2025-12-02,Aisle 2
ST005,P0046,58,20,2025-11-26,Aisle 5
ST005,P0047,287,20,2025-12-30,Aisle 5
ST005,P0048,230,100,2025-11-29,Aisle 4
ST005,P0049,151,40,2025-12-03,Bakery
ST005,P0050,275,40,2025-12-22,Produce
ST005,P0051,16,0,2025-12-18,Household
ST005,P0052,90,40,2025-11-27,Chilled
ST005,P0053,257,60,2025-12-14,Produce
ST005,P0054,118,20,2025-12-06,Aisle 1
ST005,P0055,238,100,2025-12-02,Household
ST005,P0056,321,40,2025-12-20,Aisle 3
ST005,P0057,167,60,2025-11-29,Bakery
ST005,P0058,216,100,2025-12-25,Aisle 1
ST005,P0059,113,0,2025-12-11,Aisle 1
ST005,P0060,147,0,2025-12-19,Frozen
ST005,P0061,176,0,2025-12-17,Aisle 2
ST005,P0062,245,100,2025-12-25,Aisle 2
ST005,P0063,246,0,2025-12-04,Chilled
ST005,P0064,274,0,2025-11-16,Household
ST005,P0065,126,0,2025-12-21,Frozen
ST005,P0066,0,0,2025-11-19,Frozen
ST006,P0001,180,40,2025-12-02,Aisle 2
ST006,P0002,281,60,2025-12-31,Aisle 3
ST006,P0003,191,0,2025-12-10,Aisle 2
ST006,P0004,234,40,2025-11-21,Produce
ST006,P0005,21,20,2025-12-10,Bakery
ST006,P0006,80,0,2025-12-29,Aisle 1
ST006,P0007,279,0,2025-12-14,Household
ST006,P0008,23,20,2025-11-16,Aisle 5
ST006,P0009,217,0,2025-12-27,Chilled
ST006,P0010,64,40,2025-11-18,Frozen
ST006,P0011,117,60,2025-12-05,Produce
ST006,P0012,138,100,2025-12-28,Chilled
ST006,P0013,276,100,2025-12-22,Household
ST006,P0014,39,60,2025-11-21,Aisle 1
ST006,P0015,71,60,2025-12-11,Aisle 5
ST006,P0016,70,60,2025-11-19,Aisle 3
ST006,P0017,258,60,2025-11-17,Aisle 1
ST006,P0018,80,60,2025-11-27,Aisle 5
ST006,P0019,150,0,2025-11-20,Household
ST006,P0020,331,20,2025-11-29,Aisle 3
ST006,P0021,21,0,2025-11-28,Aisle 3
ST006,P0022,114,20,2025-12-31,Aisle 5
ST006,P0023,253,60,2025-12-14,Household
ST006,P0024,255,20,2025-12-08,Aisle 3
ST006,P0025,250,0,2025-12-04,Aisle 1
ST006,P0026,214,0,2025-11-23,Bakery
ST006,P0027,178,60,2025-12-26,Aisle 2
ST006,P0028,190,40,2025-11-29,Produce
ST006,P0029,126,40,2025-12-07,Aisle 1
ST006,P0030,231,60,2025-12-01,Aisle 2
ST006,P0031,90,20,2025-11-21,Aisle 1
ST006,P0032,225,0,2025-12-14,Aisle 2
ST006,P0033,88,0,2025-11-27,Frozen
ST006,P0034,166,0,2025-11-17,Bakery
ST006,P0035,46,0,2025-12-11,Household
ST006,P0036,76,100,2025-12-18,Frozen
ST006,P0037,250,60,2025-12-19,Frozen
ST006,P0038,229,0,2025-12-28,Aisle 4
ST006,P0039,149,60,2025-11-24,Aisle 2
ST006,P0040,7,100,2025-12-08,Aisle 3
ST006,P0041,38,0,2025-12-14,Bakery
ST006,P0042,306,60,2025-12-11,Produce
ST006,P0043,85,0,2025-12-19,Aisle 3
ST006,P0044,153,40,2025-12-24,Frozen
ST006,P0045,154,100,2025-11-26,Frozen
ST006,P0046,310,100,2025-12-18,Aisle 5
ST006,P0047,20,20,2025-11-18,Aisle 1
ST006,P0048,245,20,2025-11-28,Aisle 1
ST006,P0049,287,100,2025-11-26,Aisle 2
ST006,P0050,315,20,2025-11-20,Aisle 4
ST006,P0051,68,0,2025-12-02,Chilled
ST006,P0052,195,20,2025-12-24,Produce
ST006,P0053,76,0,2025-11-17,Aisle 3
ST006,P0054,215,100,2025-12-19,Frozen
ST006,P0055,170,0,2025-12-02,Aisle 4
ST006,P0056,325,0,2025-11-16,Aisle 4
ST006,P0057,146,20,2025-12-04,Chilled
ST006,P0058,11,40,2025-12-26,Produce
ST006,P0059,162,0,2025-12-02,Bakery
ST006,P0060,9,100,2025-12-20,Frozen
ST006,P0061,68,40,2025-11-20,Bakery
ST006,P0062,220,0,2025-12-11,Chilled
ST006,P0063,276,60,2025-11-16,Bakery
ST006,P0064,19,0,2025-12-23,Aisle 5
ST006,P0065,2,40,2025-12-31,Chilled
ST006,P0066,170,0,2025-11-25,Aisle 5
ST007,P0001,337,20,2025-11-24,Bakery
ST007,P0002,145,20,2025-12-17,Aisle 2
ST007,P0003,77,0,2025-12-15,Produce
ST007,P0004,237,40,2025-12-13,Aisle 5
ST007,P0005,203,0,2025-12-21,Produce
ST007,P0006,321,60,2025-12-25,Frozen
ST007,P0007,339,40,2025-12-16,Aisle 2
ST007,P0008,335,0,2025-11-30,Aisle 4
ST007,P0009,336,20,2025-12-12,Aisle 4
ST007,P0010,2,60,2025-11-30,Aisle 1
ST007,P0011,55,40,2025-12-22,Aisle 1
ST007,P0012,40,0,2025-11-20,Aisle 3
ST007,P0013,142,100,2025-12-19,Frozen
ST007,P0014,340,0,2025-12-20,Aisle 5
ST007,P0015,217,0,2025-12-13,Chilled
ST007,P0016,49,0,2025-12-23,Aisle 2
ST007,P0017,130,100,2025-11-16,Aisle 4
ST007,P0018,134,0,2025-11-28,Aisle 5
ST007,P0019,302,40,2025-12-02,Produce
ST007,P0020,47,20,2025-12-06,Frozen
ST007,P0021,135,20,2025-12-21,Aisle 4
ST007,P0022,27,0,2025-12-19,Aisle 5
ST007,P0023,277,100,2025-12-11,Aisle 1
ST007,P0024,143,20,2025-12-21,Aisle 3
ST007,P0025,322,0,2025-12-26,Aisle 5
ST007,P0026,196,20,2025-11-17,Bakery
ST007,P0027,321,0,2025-12-29,Household
ST007,P0028,60,40,2025-12-02,Aisle 4
ST007,P0029,189,0,2025-11-29,Aisle 3
ST007,P0030,71,100,2025-12-10,Frozen
ST007,P0031,300,20,2025-11-26,Aisle 4
ST007,P0032,126,0,2025-11-21,Aisle 4
ST007,P0033,198,0,2025-11-30,Bakery
ST007,P0034,267,20,2025-12-13,Aisle 2
ST007,P0035,127,0,2025-12-12,Produce
ST007,P0036,303,20,2025-11-26,Frozen
ST007,P0037,323,100,2025-11-28,Produce
ST007,P0038,273,60,2025-12-25,Bakery
ST007,P0039,216,40,2025-12-11,Produce
ST007,P0040,217,40,2025-12-28,Aisle 2
ST007,P0041,262,0,2025-12-07,Bakery
ST007,P0042,50,0,2025-12-20,Produce
ST007,P0043,64,100,2025-11-23,Household
ST007,P0044,5,0,2025-11-18,Aisle 3
ST007,P0045,23,60,2025-12-11,Aisle 5
ST007,P0046,74,20,2025-11-26,Aisle 2
ST007,P0047,264,0,2025-12-25,Produce
ST007,P0048,311,0,2025-11-23,Chilled
ST007,P0049,254,100,2025-12-04,Aisle 5
ST007,P0050,120,40,2025-12-15,Produce
ST007,P0051,77,0,2025-11-16,Aisle 3
ST007,P0052,240,40,2025-11-26,Bakery
ST007,P0053,87,0,2025-11-27,Frozen
ST007,P0054,318,0,2025-12-24,Aisle 4
ST007,P0055,55,0,2025-12-24,Aisle 5
ST007,P0056,29,20,2025-12-19,Aisle 5
ST007,P0057,188,0,2025-11-17,Aisle 5
ST007,P0058,188,100,2025-11-23,Aisle 3
ST007,P0059,130,60,2025-12-30,Aisle 3
ST007,P0060,260,0,2025-11-19,Chilled
ST007,P0061,144,20,2025-11-30,Aisle 5
ST007,P0062,302,100,2025-12-10,Household
ST007,P0063,126,0,2025-12-11,Household
ST007,P0064,123,40,2025-12-31,Aisle 4
ST007,P0065,80,20,2025-12-24,Frozen
ST007,P0066,147,20,2025-12-09,Chilled
ST008,P0001,58,40,2025-12-07,Aisle 3
ST008,P0002,330,100,2025-12-05,Produce
ST008,P0003,269,100,2025-11-30,Aisle 5
ST008,P0004,220,0,2025-12-25,Aisle 3
ST008,P0005,200,20,2025-12-23,Aisle 3
ST008,P0006,240,0,2025-12-14,Aisle 2
ST008,P0007,170,40,2025-12-10,Aisle 1
ST008,P0008,126,0,2025-11-26,Aisle 2
ST008,P0009,257,20,2025-11-17,Produce
ST008,P0010,143,40,2025-12-10,Bakery
ST008,P0011,339,0,2025-12-27,Aisle 3
ST008,P0012,15,0,2025-11-24,Aisle 5
ST008,P0013,190,0,2025-12-16,Aisle 1
ST008,P0014,192,100,2025-11-27,Aisle 5
ST008,P0015,314,60,2025-12-07,Aisle 4
ST008,P0016,64,0,2025-12-21,Aisle 2
ST008,P0017,103,0,2025-12-05,Chilled
ST008,P0018,191,20,2025-12-17,Chilled
ST008,P0019,280,0,2025-11-27,Aisle 4
ST008,P0020,344,40,2025-11-21,Bakery
ST008,P0021,258,0,2025-12-26,Aisle 1
ST008,P0022,94,60,2025-11-30,Frozen
ST008,P0023,215,0,2025-12-22,Aisle 3
ST008,P0024,15,100,2025-11-20,Aisle 4
ST008,P0025,136,60,2025-12-04,Household
ST008,P0026,134,0,2025-12-29,Aisle 4
ST008,P0027,208,100,2025-12-16,Frozen
ST008,P0028,89,0,2025-11-26,Household
ST008,P0029,7,20,2025-11-25,Aisle 3
ST008,P0030,0,40,2025-11-30,Aisle 3
ST008,P0031,20,60,2025-12-30,Household
ST008,P0032,50,60,2025-11-21,Aisle 2
ST008,P0033,117,0,2025-12-31,Aisle 2
ST008,P0034,35,100,2025-12-29,Bakery
ST008,P0035,303,100,2025-12-07,Household
ST008,P0036,163,0,2025-12-22,Aisle 4
ST008,P0037,193,0,2025-12-20,Chilled
ST008,P0038,130,0,2025-12-08,Aisle 4
ST008,P0039,42,100,2025-12-27,Chilled
ST008,P0040,254,40,2025-11-28,Aisle 1
ST008,P0041,269,100,2025-11-24,Aisle 5
ST008,P0042,13,20,2025-12-12,Aisle 3
ST008,P0043,57,0,2025-12-05,Aisle 3
ST008,P0044,24,0,2025-11-16,Bakery
ST008,P0045,112,0,2025-12-04,Household
ST008,P0046,56,100,2025-12-26,Aisle 1
ST008,P0047,193,0,2025-11-16,Aisle 2
ST008,P0048,127,20,2025-11-21,Frozen
ST008,P0049,135,0,2025-12-23,Produce
ST008,P0050,236,0,2025-12-04,Bakery
ST008,P0051,335,60,2025-11-18,Produce
ST008,P0052,59,0,2025-12-19,Aisle 1
ST008,P0053,316,0,2025-12-30,Chilled
ST008,P0054,98,20,2025-12-11,Bakery
ST008,P0055,57,40,2025-12-08,Aisle 4
ST008,P0056,277,0,2025-12-24,Frozen
ST008,P0057,34,0,2025-12-29,Aisle 1
ST008,P0058,202,0,2025-12-29,Produce
ST008,P0059,198,20,2025-12-30,Chilled
ST008,P0060,280,40,2025-11-17,Aisle 2
ST008,P0061,158,0,2025-12-14,Produce
ST008,P0062,17,0,2025-11-18,Chilled
ST008,P0063,204,20,2025-11-29,Aisle 1
ST008,P0064,32,60,2025-12-12,Produce
ST008,P0065,36,20,2025-12-02,Aisle 2
ST008,P0066,292,40,2025-11-26,Aisle 1
